Title,Rating,Genres,Cast
Blue Beetle,69.0,"['Action', 'Science Fiction']","['Xolo Mariduena', 'Bruna Marquezine', 'George Lopez', 'Belissa Escobedo', 'Adriana Barraza', 'Damián Alcázar', 'Elpidia Carrillo', 'Susan Sarandon', 'Raoul Max Trujillo']"
Kingdom 2: Far and Away,69.0,"['Action', 'Adventure', 'War']","['Kento Yamazaki', 'Ryo Yoshizawa', 'Kanna Hashimoto', 'Nana Seino', 'Takao Osawa', 'Amane Okayama', 'Takahiro Miura', 'Takayuki Hamatsu', 'Etsushi Toyokawa']"
John Wick: Chapter 4,78.0,"['Action', 'Thriller', 'Crime']","['Keanu Reeves', 'Donnie Yen', 'Bill Skarsgård', 'Ian McShane', 'Laurence Fishburne', 'Lance Reddick', 'Clancy Brown', 'Hiroyuki Sanada', 'Rina Sawayama']"
Talk to Me,72.0,"['Horror', 'Thriller']","['Sophie Wilde', 'Alexandra Jensen', 'Joe Bird', 'Otis Dhanji', 'Miranda Otto', 'Zoe Terakes', 'Chris Alosio', 'Marcus Johnson', 'Alexandria Steffensen']"
Shin Kamen Rider,71.0,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Science Fiction']","['Sosuke Ikematsu', 'Minami Hamabe', 'Tasuku Emoto', 'Mirai Moriyama', 'Nanase Nishino', 'Toru Tezuka', 'Nao Omori', 'Kanata Hongo', 'Masami Nagasawa']"
Oppenheimer,83.0,"['Drama', 'History']","['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh', 'Josh Hartnett', 'Casey Affleck', 'Rami Malek', 'Kenneth Branagh']"
"Ruby Gillman, Teenage Kraken",76.0,"['Animation', 'Family', 'Fantasy', 'Comedy']","['Lana Condor', 'Toni Collette', 'Annie Murphy', 'Sam Richardson', 'Liza Koshy', 'Will Forte', 'Colman Domingo', 'Jaboukie Young-White', 'Blue Chapman']"
Warhorse One,72.0,"['Action', 'Drama', 'War']","['Johnny Strong', 'Athena Durner', 'Raj Kala', 'James Sherrill', 'Michael Sauers']"
River Wild,65.0,"['Mystery', 'Thriller', 'Adventure']","['Adam Brody', 'Leighton Meester', 'Taran Killam', 'Olivia Swann', 'Eve Connolly', 'Nicholas Wittman', 'Courtney Chen', 'Matt Devere']"
The Super Mario Bros. Movie,78.0,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']","['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day', 'Jack Black', 'Keegan-Michael Key', 'Seth Rogen', 'Fred Armisen', 'Sebastian Maniscalco', 'Charles Martinet']"
Head to Head,67.0,"['Comedy', 'Thriller', 'Action']","['Abdulaziz Alshehri', 'Ziyad Alamri', 'Adel Radwan', 'Mohammad Alqass', 'Ida Alkusay', 'Hesham Alhosawi', 'Ahmed Kaabi', 'Saleh Alkhalaqi', 'Riad Alsalhani']"
Justice League: Warworld,73.0,"['Animation', 'Action', 'Science Fiction', 'Adventure']","['Jensen Ackles', 'Darren Criss', 'Stana Katic', 'Ike Amadi', 'Troy Baker', 'Matt Bomer', 'Roger Cross', 'Brett Dalton', 'Trevor Devall']"
Kingdom 3: The Flame of Fate,78.0,"['Action', 'Adventure', 'War']","['Kento Yamazaki', 'Ryo Yoshizawa', 'Kanna Hashimoto', 'Nana Seino', 'Hiroshi Tamaki', 'Koichi Sato', 'Takao Osawa', 'Anne Watanabe', 'Yuki Yamada']"
Knights of the Zodiac,67.0,"['Fantasy', 'Action', 'Adventure']","['Mackenyu', 'Madison Iseman', 'Diego Tinoco', 'Mark Dacascos', 'Nick Stahl', 'Famke Janssen', 'Sean Bean', 'Caitlin M Hutson', 'Katie Moy']"
"Miraculous: Ladybug & Cat Noir, The Movie",79.0,"['Animation', 'Family', 'Action', 'Fantasy', 'Romance']","['Annouck Hautbois', 'Benjamin Bollen', 'Fanny Bloc', ""Alexandre N'Guyen"", 'Antoine Tomé', 'Marie Chevalot', 'Marie Nonnenmacher', 'Martial Le Minoux', 'Flora Kaprielian']"
Fear the Night,67.0,"['Action', 'Thriller']","['Maggie Q', 'Kat Foster', 'Travis Hammer', 'Gia Crovatin', 'Brenda Meaney', 'Ito Aghayere', 'Kirstin Leigh', 'Highdee Kuan', 'KeiLyn Durrel Jones']"
The Seven Deadly Sins: Grudge of Edinburgh Part 2,80,"['Action', 'Adventure', 'Fantasy', 'Animation']","['Ayumu Murase', 'Koki Uchiyama', 'Yuki Kaji', 'Sora Amamiya', 'Tatsuhisa Suzuki', 'Aoi Yuki', 'Jun Fukuyama', 'Yuuhei Takagi', 'Yūya Uchida']"
"Red, White & Royal Blue",84.0,"['Comedy', 'Romance']","['Taylor Zakhar Perez', 'Nicholas Galitzine', 'Uma Thurman', 'Clifton Collins Jr.', 'Rachel Hilson', 'Sarah Shahi', 'Ellie Bamber', 'Thomas Flynn', 'Stephen Fry']"
Mavka: The Forest Song,74.0,"['Animation', 'Adventure', 'Family', 'Fantasy']","['Nataliia Denysenko', 'Artem Pyvovarov', 'Nazar Zadniprovskyi', 'Oleh Skripka', 'Olena Kravets', 'Serhii Prytula', 'Oleh Mykhailiuta', 'Nataliia Sumska', 'Julia Sanina']"
My Fault,82.0,"['Romance', 'Drama']","['Nicole Wallace', 'Gabriel Guevara', 'Marta Hazas', 'Iván Sánchez', 'Eva Ruiz', 'Víctor Varona', 'Fran Berenguer', 'Adriana Ubani', 'Iván Massagué']"
