Title,Rating,Genres,Cast
The Venture Bros.: Radiant Is the Blood of the Baboon Heart,71.0,"['Animation', 'Action', 'Adventure', 'Science Fiction']","['Christopher McCulloch', 'Doc Hammer', 'James Urbaniak', 'Michael Sinterniklaas', 'Patrick Warburton', 'Nina Arianda', 'Clancy Brown', 'John Hodgman', 'Hal Lublin']"
Sound of Freedom,81.0,"['Action', 'Drama']","['Jim Caviezel', 'Mira Sorvino', 'Bill Camp', 'Kurt Fuller', 'Gerardo Taracena', 'José Zúñiga', 'Scott Haze', 'Gary Basaraba', 'Eduardo Verástegui']"
What the Waters Left Behind: Scars,70,['Horror'],"['Agustin Olcese', 'Clara Kovacic', 'Magui Bravi', 'Eugenia Rigón', 'Matías Desiderio', 'Juan Pablo Bishel', 'Mario Alarcón', 'David Michigan', 'Germán Baudino']"
Extraction 2,75.0,"['Action', 'Thriller']","['Chris Hemsworth', 'Golshifteh Farahani', 'Adam Bessa', 'Tornike Gogrichiani', 'Tornike Bziava', 'Tinatin Dalakishvili', 'Andro Japaridze', 'Justin Howell', 'Idris Elba']"
Avatar: The Way of Water,77.0,"['Science Fiction', 'Adventure', 'Action']","['Sam Worthington', 'Zoe Saldaña', 'Sigourney Weaver', 'Stephen Lang', 'Kate Winslet', 'Cliff Curtis', 'Joel David Moore', 'CCH Pounder', 'Edie Falco']"
San Andreas,62.0,"['Action', 'Drama', 'Thriller']","['Dwayne Johnson', 'Alexandra Daddario', 'Carla Gugino', 'Ioan Gruffudd', 'Archie Panjabi', 'Paul Giamatti', 'Hugo Johnstone-Burt', 'Art Parkinson', 'Will Yun Lee']"
Puss in Boots: The Last Wish,83.0,"['Animation', 'Family', 'Fantasy', 'Adventure', 'Comedy', 'Action']","['Antonio Banderas', 'Salma Hayek Pinault', 'Harvey Guillén', 'Wagner Moura', 'Florence Pugh', 'Olivia Colman', 'Ray Winstone', 'Samson Kayo', 'John Mulaney']"
The Meg,62.0,"['Action', 'Science Fiction', 'Horror']","['Jason Statham', 'Li Bingbing', 'Rainn Wilson', 'Cliff Curtis', 'Ruby Rose', 'Jessica McNamee', 'Masi Oka', 'Winston Chao', 'Shuya Sophia Cai']"
Older Gods,49.0,"['Horror', 'Mystery', 'Thriller']","['Rory Wilson', 'Leuan Coombs', 'Lynsey Bennett-Thompson', 'Scott Bishop', 'Keith Lupton', 'Jonathan Keeble', 'Nicole Carino', 'Dylan Runge', 'Martin Meredith']"
Mission: Impossible - Dead Reckoning Part One,77.0,"['Action', 'Adventure', 'Thriller']","['Tom Cruise', 'Hayley Atwell', 'Ving Rhames', 'Simon Pegg', 'Rebecca Ferguson', 'Vanessa Kirby', 'Esai Morales', 'Pom Klementieff', 'Henry Czerny']"
The Pope's Exorcist,72.0,"['Horror', 'Thriller']","['Russell Crowe', 'Daniel Zovatto', 'Alex Essoe', 'Franco Nero', 'Peter DeSouza-Feighoney', 'Laurel Marsden', 'Cornell John', ""Ryan O'Grady"", 'Bianca Bardoe']"
One Piece Film Red,74.0,"['Animation', 'Adventure', 'Action', 'Fantasy']","['Kaori Nazuka', 'Shuichi Ikeda', 'Mayumi Tanaka', 'Kazuya Nakai', 'Akemi Okamura', 'Kappei Yamaguchi', 'Hiroaki Hirata', 'Ikue Otani', 'Yuriko Yamaguchi']"
Astonishing Tales of Terror: Rocktapussy!,64.0,"['Horror', 'Comedy', 'Fantasy']","['Brigitte Kingsley', 'Landy Cannon', 'Patrick Kwok-Choon', 'Troy Blundell', 'Alys Crocker', 'Andrew Cymek', 'Sara Mitich', 'David Calderisi', 'Winny Clarke']"
Hypnotic,65.0,"['Mystery', 'Thriller', 'Science Fiction']","['Ben Affleck', 'Alice Braga', 'J. D. Pardo', 'Dayo Okeniyi', 'Jeff Fahey', 'Jackie Earle Haley', 'William Fichtner', 'Zane Holtz', 'Ruben Javier Caballero']"
La Leyenda de los Chaneques,85.0,"['Animation', 'Comedy', 'Family', 'Horror']","['Benny Emmanuel', 'Emilio Treviño', 'Jorge Rafael', 'Mayté Cordero', 'Annie Rojas', 'Eduardo España', 'Andrés Couturier', 'Alejandro Villeli', 'Gabriel Basurto']"
The Outwaters,47.0,"['Horror', 'Science Fiction', 'Thriller']","['Robbie Banfitch', 'Angela Basolis', 'Scott Schamell', 'Michelle May', 'Leslie Ann Banfitch', 'Christine Brown', 'Melissa Andrea', 'Nancy Bujnowski', 'Aro Caitlin']"
Guy Ritchie's The Covenant,78.0,"['War', 'Action', 'Thriller']","['Jake Gyllenhaal', 'Dar Salim', 'Antony Starr', 'Alexander Ludwig', 'Jonny Lee Miller', 'Emily Beecham', 'Jason Wong', 'Bobby Schofield', 'Sina Parvaneh']"
The Darkest Minds,70,"['Action', 'Adventure', 'Drama']","['Amandla Stenberg', 'Harris Dickinson', 'Patrick Gibson', 'Skylan Brooks', 'Mandy Moore', 'Miya Cech', 'Gwendoline Christie', 'Grace DeAmicis', 'Faye Foley']"
The Gates,73.0,['Horror'],"['John Rhys-Davies', 'Michael Yare', 'Elena Delia', 'Richard Brake', 'David Pearse', 'Peter Coonan', 'Brian Fortune']"
The Black Demon,64.0,"['Horror', 'Thriller']","['Josh Lucas', 'Fernanda Urrejola', 'Julio Cedillo', 'Venus Ariel', 'Carlos Solórzano', 'Jorge A. Jimenez', 'Raúl Méndez', 'Héctor Jiménez', 'Edgar Flores']"
